name,datatype,AIC,AICc,BIC
ENSGT00390000000002.Euteleostomi.001,CODON,SCHN05+F+G4,SCHN05+F+G4,MGK+F3X4+G4
ENSGT00390000000002.Euteleostomi.001,CODON,SCHN05+F+G4,SCHN05+F+G4,MGK+F3X4+G4
ENSGT00390000000002.Euteleostomi.001,CODON,SCHN05+F+G4,SCHN05+F+G4,MGK+F3X4+G4
ENSGT00390000000002.Euteleostomi.001,CODON,SCHN05+F+G4,SCHN05+F+G4,MGK+F3X4+G4
ENSGT00390000000002.Euteleostomi.001,CODON,SCHN05+F+G4,SCHN05+F+G4,MGK+F3X4+G4
ENSGT00390000000002.Euteleostomi.001,CODON,KOSI07+F+G4,KOSI07+F+G4,MGK+F3X4+G4
ENSGT00390000000002.Euteleostomi.001,CODON,SCHN05+F+G4,SCHN05+F+G4,MGK+F3X4+G4
ENSGT00390000000002.Euteleostomi.001,CODON,SCHN05+F+G4,SCHN05+F+G4,MGK+F3X4+G4
ENSGT00390000000002.Euteleostomi.001,CODON,SCHN05+F+G4,SCHN05+F+G4,MGK+F3X4+G4
ENSGT00390000000002.Euteleostomi.001,CODON,SCHN05+F+G4,SCHN05+F+G4,MGK+F3X4+G4
ENSGT00390000000002.Euteleostomi.001,CODON,SCHN05+F+G4,SCHN05+F+G4,MGK+F3X4+G4
ENSGT00390000000002.Euteleostomi.001,CODON,SCHN05+F+G4,SCHN05+F+G4,MGK+F3X4+G4
ENSGT00390000000002.Euteleostomi.001,CODON,SCHN05+F+G4,SCHN05+F+G4,MGK+F3X4+G4
ENSGT00390000000002.Euteleostomi.001,CODON,SCHN05+F+G4,SCHN05+F+G4,MGK+F3X4+G4
ENSGT00390000000002.Euteleostomi.001,CODON,SCHN05+F+G4,SCHN05+F+G4,MGK+F3X4+G4
ENSGT00390000000002.Euteleostomi.001,CODON,SCHN05+F+I+G4,KOSI07+F+G4,MGK+F3X4+G4
ENSGT00390000000002.Euteleostomi.001,CODON,SCHN05+F+I+G4,SCHN05+F+G4,MGK+F3X4+G4
ENSGT00390000000002.Euteleostomi.001,CODON,SCHN05+F+G4,SCHN05+F+G4,MGK+F3X4+G4
ENSGT00390000000002.Euteleostomi.001,CODON,SCHN05+F+G4,SCHN05+F+G4,MGK+F3X4+G4
ENSGT00390000000002.Euteleostomi.001,CODON,SCHN05+F+G4,SCHN05+F+G4,MGK+F3X4+G4
ENSGT00390000000002.Euteleostomi.001,CODON,SCHN05+F+G4,SCHN05+F+G4,MGK+F3X4+G4
ENSGT00390000000002.Euteleostomi.001,CODON,SCHN05+F+G4,SCHN05+F+G4,MGK+F3X4+G4
ENSGT00390000000002.Euteleostomi.001,CODON,SCHN05+F+G4,SCHN05+F+G4,MGK+F3X4+G4
ENSGT00390000000002.Euteleostomi.001,CODON,SCHN05+F+G4,SCHN05+F+G4,MGK+F3X4+G4
ENSGT00390000000002.Euteleostomi.001,CODON,SCHN05+F+G4,SCHN05+F+G4,MGK+F3X4+G4
ENSGT00390000000002.Euteleostomi.001,CODON,SCHN05+F+G4,SCHN05+F+G4,MGK+F3X4+G4
ENSGT00390000000002.Euteleostomi.001,CODON,SCHN05+F+G4,SCHN05+F+G4,MGK+F3X4+G4
ENSGT00390000000002.Euteleostomi.001,CODON,SCHN05+F+G4,SCHN05+F+G4,SCHN05+FU+G4
ENSGT00390000000002.Euteleostomi.001,CODON,SCHN05+F+G4,SCHN05+F+G4,MGK+F3X4+G4
ENSGT00390000000002.Euteleostomi.001,CODON,KOSI07+F+G4,KOSI07+F+G4,MGK+F3X4+G4
ENSGT00390000000002.Euteleostomi.001,CODON,SCHN05+F+G4,SCHN05+F+G4,MGK+F3X4+G4
ENSGT00390000000002.Euteleostomi.001,CODON,SCHN05+F+G4,SCHN05+F+G4,MGK+F3X4+G4
ENSGT00390000000002.Euteleostomi.001,CODON,SCHN05+F+G4,SCHN05+F+G4,MGK+F3X4+G4
ENSGT00390000000002.Euteleostomi.001,CODON,SCHN05+F+G4,SCHN05+F+G4,MGK+F3X4+G4
ENSGT00390000000002.Euteleostomi.001,CODON,SCHN05+F+G4,SCHN05+F+G4,MGK+F3X4+G4
ENSGT00390000000002.Euteleostomi.001,CODON,KOSI07+F+G4,KOSI07+F+G4,MGK+F3X4+G4
ENSGT00390000000002.Euteleostomi.001,CODON,SCHN05+F+G4,SCHN05+F+G4,MGK+F3X4+G4
ENSGT00390000000002.Euteleostomi.001,CODON,KOSI07+F+G4,KOSI07+F+G4,MGK+F3X4+G4
ENSGT00390000000002.Euteleostomi.001,CODON,SCHN05+F+G4,SCHN05+F+G4,MGK+F3X4+G4
ENSGT00390000000002.Euteleostomi.001,CODON,SCHN05+F+G4,SCHN05+F+G4,MGK+F3X4+G4
ENSGT00390000000002.Euteleostomi.001,CODON,SCHN05+F+G4,SCHN05+F+G4,MGK+F3X4+G4
ENSGT00390000000002.Euteleostomi.001,CODON,KOSI07+F+G4,KOSI07+F+G4,MGK+F3X4+G4
ENSGT00390000000002.Euteleostomi.001,CODON,KOSI07+F+G4,KOSI07+F+G4,MGK+F3X4+G4
ENSGT00390000000002.Euteleostomi.001,CODON,SCHN05+F+G4,SCHN05+F+G4,MGK+F3X4+G4
ENSGT00390000000002.Euteleostomi.001,CODON,SCHN05+F+I+G4,SCHN05+F+G4,MGK+F3X4+G4
ENSGT00390000000002.Euteleostomi.001,CODON,KOSI07+F+G4,KOSI07+F+G4,MGK+F3X4+G4
ENSGT00390000000002.Euteleostomi.001,CODON,KOSI07+F+G4,KOSI07+F+G4,MGK+F3X4+G4
ENSGT00390000000002.Euteleostomi.001,CODON,SCHN05+F+G4,SCHN05+F+G4,MGK+F3X4+G4
ENSGT00390000000002.Euteleostomi.001,CODON,SCHN05+F+G4,SCHN05+F+G4,MGK+F3X4+G4
ENSGT00390000000002.Euteleostomi.001,CODON,SCHN05+F+G4,SCHN05+F+G4,MGK+F3X4+G4
