name,datatype,AIC,AICc,BIC
EMGT00050000001873.Drosophila.001,NT,TVM+F+I+G4,TVM+F+I+G4,TPM3u+F+I+G4
EMGT00050000001873.Drosophila.001,NT,TVM+F+I+G4,TVM+F+I+G4,TPM3u+F+I+G4
EMGT00050000001873.Drosophila.001,NT,TVM+F+I+G4,TVM+F+I+G4,TPM3u+F+I+G4
EMGT00050000001873.Drosophila.001,NT,TVM+F+I+G4,TVM+F+I+G4,TPM3u+F+I+G4
EMGT00050000001873.Drosophila.001,NT,TVM+F+I+G4,TVM+F+I+G4,TPM3u+F+I+G4
EMGT00050000001873.Drosophila.001,NT,TVM+F+I+G4,TVM+F+I+G4,TPM3u+F+I+G4
EMGT00050000001873.Drosophila.001,NT,TVM+F+I+G4,TVM+F+I+G4,TPM3u+F+I+G4
EMGT00050000001873.Drosophila.001,NT,TVM+F+I+G4,TVM+F+I+G4,TPM3u+F+I+G4
EMGT00050000001873.Drosophila.001,NT,TVM+F+I+G4,TVM+F+I+G4,TPM3u+F+I+G4
EMGT00050000001873.Drosophila.001,NT,TVM+F+I+G4,TVM+F+I+G4,TPM3u+F+I+G4
EMGT00050000001873.Drosophila.001,NT,TVM+F+I+G4,TVM+F+I+G4,TPM3u+F+I+G4
EMGT00050000001873.Drosophila.001,NT,TVM+F+I+G4,TVM+F+I+G4,TPM3+F+I+G4
EMGT00050000001873.Drosophila.001,NT,TVM+F+I+G4,TVM+F+I+G4,TPM3u+F+I+G4
EMGT00050000001873.Drosophila.001,NT,GTR+F+I+G4,GTR+F+I+G4,TPM3u+F+I+G4
EMGT00050000001873.Drosophila.001,NT,TVM+F+I+G4,TVM+F+I+G4,TPM3u+F+I+G4
EMGT00050000001873.Drosophila.001,NT,TVM+F+I+G4,TVM+F+I+G4,TPM3+F+I+G4
EMGT00050000001873.Drosophila.001,NT,TVM+F+I+G4,TVM+F+I+G4,TPM3u+F+I+G4
EMGT00050000001873.Drosophila.001,NT,TVM+F+I+G4,TVM+F+I+G4,TPM3+F+I+G4
EMGT00050000001873.Drosophila.001,NT,TVM+F+I+G4,TVM+F+I+G4,TPM3+F+I+G4
EMGT00050000001873.Drosophila.001,NT,TVM+F+I+G4,TVM+F+I+G4,TPM3+F+I+G4
EMGT00050000001873.Drosophila.001,NT,TVM+F+I+G4,TVM+F+I+G4,TPM3u+F+I+G4
EMGT00050000001873.Drosophila.001,NT,TVM+F+I+G4,TVM+F+I+G4,TPM3u+F+I+G4
EMGT00050000001873.Drosophila.001,NT,TVM+F+I+G4,TVM+F+I+G4,TPM3u+F+I+G4
EMGT00050000001873.Drosophila.001,NT,GTR+F+I+G4,GTR+F+I+G4,TPM3u+F+I+G4
EMGT00050000001873.Drosophila.001,NT,GTR+F+I+G4,GTR+F+I+G4,TPM3u+F+I+G4
EMGT00050000001873.Drosophila.001,NT,TVM+F+I+G4,TVM+F+I+G4,TPM3u+F+I+G4
EMGT00050000001873.Drosophila.001,NT,TVM+F+I+G4,TVM+F+I+G4,TPM3u+F+I+G4
EMGT00050000001873.Drosophila.001,NT,TVM+F+I+G4,TVM+F+I+G4,TPM3+F+I+G4
EMGT00050000001873.Drosophila.001,NT,TVM+F+I+G4,TVM+F+I+G4,TPM3+F+I+G4
EMGT00050000001873.Drosophila.001,NT,GTR+F+I+G4,GTR+F+I+G4,TPM3u+F+I+G4
EMGT00050000001873.Drosophila.001,NT,TVM+F+I+G4,TVM+F+I+G4,TPM3u+F+I+G4
EMGT00050000001873.Drosophila.001,NT,TVM+F+I+G4,TVM+F+I+G4,TPM3+F+I+G4
EMGT00050000001873.Drosophila.001,NT,GTR+F+I+G4,GTR+F+I+G4,TPM3u+F+I+G4
EMGT00050000001873.Drosophila.001,NT,TVM+F+I+G4,TVM+F+I+G4,TPM3u+F+I+G4
EMGT00050000001873.Drosophila.001,NT,TVM+F+I+G4,TVM+F+I+G4,TPM3u+F+I+G4
EMGT00050000001873.Drosophila.001,NT,TVM+F+I+G4,TVM+F+I+G4,TPM3u+F+I+G4
EMGT00050000001873.Drosophila.001,NT,TVM+F+I+G4,TVM+F+I+G4,TPM3u+F+I+G4
EMGT00050000001873.Drosophila.001,NT,TVM+F+I+G4,TVM+F+I+G4,TPM3+F+I+G4
EMGT00050000001873.Drosophila.001,NT,GTR+F+I+G4,GTR+F+I+G4,TPM3+F+I+G4
EMGT00050000001873.Drosophila.001,NT,TVM+F+I+G4,TVM+F+I+G4,TPM3+F+I+G4
EMGT00050000001873.Drosophila.001,NT,TVM+F+I+G4,TVM+F+I+G4,TPM3u+F+I+G4
EMGT00050000001873.Drosophila.001,NT,TVM+F+I+G4,TVM+F+I+G4,TPM3+F+I+G4
EMGT00050000001873.Drosophila.001,NT,TVM+F+I+G4,TVM+F+I+G4,TPM3u+F+I+G4
EMGT00050000001873.Drosophila.001,NT,TVM+F+I+G4,TVM+F+I+G4,TPM3u+F+I+G4
EMGT00050000001873.Drosophila.001,NT,TVM+F+I+G4,TVM+F+I+G4,TPM3u+F+I+G4
EMGT00050000001873.Drosophila.001,NT,TVM+F+I+G4,TVM+F+I+G4,TPM3+F+I+G4
EMGT00050000001873.Drosophila.001,NT,TVM+F+I+G4,TVM+F+I+G4,TPM3u+F+I+G4
EMGT00050000001873.Drosophila.001,NT,TVM+F+I+G4,TVM+F+I+G4,TPM3u+F+I+G4
EMGT00050000001873.Drosophila.001,NT,TVM+F+I+G4,TVM+F+I+G4,TPM3+F+I+G4
EMGT00050000001873.Drosophila.001,NT,TVM+F+I+G4,TVM+F+I+G4,TPM3u+F+I+G4
