name,number,Model,ic_type
ENSGT00390000000018.Euteleostomi.003.nt.fas,1,TIM2e+I+G4,AIC
ENSGT00390000000018.Euteleostomi.003.nt.fas,10,TIM2e+I+G4,AIC
ENSGT00390000000018.Euteleostomi.003.nt.fas,11,SYM+I+G4,AIC
ENSGT00390000000018.Euteleostomi.003.nt.fas,12,TIM2e+I+G4,AIC
ENSGT00390000000018.Euteleostomi.003.nt.fas,13,TIM2e+I+G4,AIC
ENSGT00390000000018.Euteleostomi.003.nt.fas,14,TIM2e+I+G4,AIC
ENSGT00390000000018.Euteleostomi.003.nt.fas,15,SYM+I+G4,AIC
ENSGT00390000000018.Euteleostomi.003.nt.fas,16,TIM2e+I+G4,AIC
ENSGT00390000000018.Euteleostomi.003.nt.fas,17,TIM2e+I+G4,AIC
ENSGT00390000000018.Euteleostomi.003.nt.fas,18,TIM2e+I+G4,AIC
ENSGT00390000000018.Euteleostomi.003.nt.fas,19,SYM+I+G4,AIC
ENSGT00390000000018.Euteleostomi.003.nt.fas,2,SYM+I+G4,AIC
ENSGT00390000000018.Euteleostomi.003.nt.fas,20,SYM+I+G4,AIC
ENSGT00390000000018.Euteleostomi.003.nt.fas,21,TIM2e+I+G4,AIC
ENSGT00390000000018.Euteleostomi.003.nt.fas,22,TIM2e+I+G4,AIC
ENSGT00390000000018.Euteleostomi.003.nt.fas,23,TIM2e+I+G4,AIC
ENSGT00390000000018.Euteleostomi.003.nt.fas,24,TIM2e+I+G4,AIC
ENSGT00390000000018.Euteleostomi.003.nt.fas,25,TIM2e+I+G4,AIC
ENSGT00390000000018.Euteleostomi.003.nt.fas,26,TIM2e+I+G4,AIC
ENSGT00390000000018.Euteleostomi.003.nt.fas,27,TIM2e+I+G4,AIC
ENSGT00390000000018.Euteleostomi.003.nt.fas,28,TIM2e+I+G4,AIC
ENSGT00390000000018.Euteleostomi.003.nt.fas,29,TIM2e+I+G4,AIC
ENSGT00390000000018.Euteleostomi.003.nt.fas,3,TIM2e+I+G4,AIC
ENSGT00390000000018.Euteleostomi.003.nt.fas,30,TIM2e+I+G4,AIC
ENSGT00390000000018.Euteleostomi.003.nt.fas,31,TIM2e+I+G4,AIC
ENSGT00390000000018.Euteleostomi.003.nt.fas,32,SYM+I+G4,AIC
ENSGT00390000000018.Euteleostomi.003.nt.fas,33,TIM2e+I+G4,AIC
ENSGT00390000000018.Euteleostomi.003.nt.fas,34,TIM2e+I+G4,AIC
ENSGT00390000000018.Euteleostomi.003.nt.fas,35,TIM2e+I+G4,AIC
ENSGT00390000000018.Euteleostomi.003.nt.fas,36,TIM2e+I+G4,AIC
ENSGT00390000000018.Euteleostomi.003.nt.fas,37,SYM+I+G4,AIC
ENSGT00390000000018.Euteleostomi.003.nt.fas,38,TIM2e+I+G4,AIC
ENSGT00390000000018.Euteleostomi.003.nt.fas,39,SYM+I+G4,AIC
ENSGT00390000000018.Euteleostomi.003.nt.fas,4,SYM+I+G4,AIC
ENSGT00390000000018.Euteleostomi.003.nt.fas,40,SYM+I+G4,AIC
ENSGT00390000000018.Euteleostomi.003.nt.fas,41,SYM+I+G4,AIC
ENSGT00390000000018.Euteleostomi.003.nt.fas,42,SYM+I+G4,AIC
ENSGT00390000000018.Euteleostomi.003.nt.fas,43,TIM2e+I+G4,AIC
ENSGT00390000000018.Euteleostomi.003.nt.fas,44,SYM+I+G4,AIC
ENSGT00390000000018.Euteleostomi.003.nt.fas,45,SYM+I+G4,AIC
ENSGT00390000000018.Euteleostomi.003.nt.fas,46,SYM+I+G4,AIC
ENSGT00390000000018.Euteleostomi.003.nt.fas,47,TIM2e+I+G4,AIC
ENSGT00390000000018.Euteleostomi.003.nt.fas,48,TIM2e+I+G4,AIC
ENSGT00390000000018.Euteleostomi.003.nt.fas,49,TIM2e+I+G4,AIC
ENSGT00390000000018.Euteleostomi.003.nt.fas,5,TIM2e+I+G4,AIC
ENSGT00390000000018.Euteleostomi.003.nt.fas,50,TIM2e+I+G4,AIC
ENSGT00390000000018.Euteleostomi.003.nt.fas,6,TIM2e+I+G4,AIC
ENSGT00390000000018.Euteleostomi.003.nt.fas,7,SYM+I+G4,AIC
ENSGT00390000000018.Euteleostomi.003.nt.fas,8,SYM+I+G4,AIC
ENSGT00390000000018.Euteleostomi.003.nt.fas,9,TIM2e+I+G4,AIC
ENSGT00390000000455.Euteleostomi.001.nt.fas,1,TIM3e+I+G4,AIC
ENSGT00390000000455.Euteleostomi.001.nt.fas,10,TIM3e+I+G4,AIC
ENSGT00390000000455.Euteleostomi.001.nt.fas,11,TIM3e+I+G4,AIC
ENSGT00390000000455.Euteleostomi.001.nt.fas,12,TIM3e+I+G4,AIC
ENSGT00390000000455.Euteleostomi.001.nt.fas,13,TIM3e+I+G4,AIC
ENSGT00390000000455.Euteleostomi.001.nt.fas,14,TIM3e+I+G4,AIC
ENSGT00390000000455.Euteleostomi.001.nt.fas,15,TIM3e+I+G4,AIC
ENSGT00390000000455.Euteleostomi.001.nt.fas,16,TIM3e+I+G4,AIC
ENSGT00390000000455.Euteleostomi.001.nt.fas,17,TIM3e+I+G4,AIC
ENSGT00390000000455.Euteleostomi.001.nt.fas,18,TIM3e+I+G4,AIC
ENSGT00390000000455.Euteleostomi.001.nt.fas,19,TIM3e+I+G4,AIC
ENSGT00390000000455.Euteleostomi.001.nt.fas,2,TIM3e+I+G4,AIC
ENSGT00390000000455.Euteleostomi.001.nt.fas,20,TIM3e+I+G4,AIC
ENSGT00390000000455.Euteleostomi.001.nt.fas,21,TIM3e+I+G4,AIC
ENSGT00390000000455.Euteleostomi.001.nt.fas,22,TIM3e+I+G4,AIC
ENSGT00390000000455.Euteleostomi.001.nt.fas,23,TIM3e+I+G4,AIC
